deployed_strategy,label_budget,macro_f1,pr_auc,far,mdr,utility_label_efficiency,n_rows,generated_at,output_path
Framework-Best-F1,20pct,0.7241023827167982,0.8286203856378208,0.23269230769230767,0.3166666666666667,0.1347434083578238,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Best-F1,5pct,0.6398303094426765,0.717939330799152,0.2333333333333333,0.4698717948717948,-0.0833748187624516,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Best-F1,full,0.8878866824349197,0.9544524008385661,0.11506410256410252,0.10865384615384613,0.6041687337169712,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Best-F1,normal_only,0.5575440583022334,0.5737397694988604,0.43910256410256404,0.43782051282051276,-0.3193790186208434,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,20pct,0.7152725736247365,0.8286203856378208,0.19935897435897434,0.3628205128205128,0.11309308644524937,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,5pct,0.6394705811284133,0.7121068804360382,0.19679487179487176,0.5032051282051282,-0.0805294188715867,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,full,0.8878866824349197,0.9544524008385661,0.11506410256410252,0.10865384615384613,0.6041687337169712,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,normal_only,0.5575440583022334,0.5737397694988604,0.43910256410256404,0.43782051282051276,-0.3193790186208434,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,20pct,0.6442122297321599,0.8283916499912012,0.5583333333333333,0.10833333333333328,-0.06245443693450677,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,5pct,0.4544628276455864,0.6582198703622603,0.8493589743589745,0.07051282051282046,-0.4854089672262085,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,full,0.8713655945504325,0.9544524008385661,0.19262820512820508,0.06057692307692303,0.5581604663453044,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,normal_only,0.3798921656356167,0.5624724970851677,0.948076923076923,0.03141025641025636,-0.5995950138515628,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,20pct,0.6796291736798182,0.8253183378384538,0.06538461538461532,0.5365384615384616,0.03770609675674134,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,5pct,0.5387920983993725,0.7121068804360382,0.07179487179487173,0.7371794871794872,-0.29018226057498653,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,full,0.8758709891082412,0.9547659861695423,0.051923076923076884,0.19230769230769226,0.5716402198774722,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,normal_only,0.4350674108908283,0.5541035289640487,0.0698717948717948,0.875,-0.5098043839809665,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,20pct,0.7224668129700925,0.8286203856378208,0.22948717948717948,0.32243589743589746,0.1305437360470156,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,5pct,0.6030908886097048,0.6657805124082692,0.2865384615384615,0.4865384615384615,-0.18998603446721815,5,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
