deployed_strategy,protocol_group,macro_f1,pr_auc,far,mdr,utility_robust,n_rows,generated_at,output_path
Framework-Best-F1,domain_shift,0.6149355447424822,0.7582374152289413,0.20503978779840845,0.47651856763925726,-0.0666228106951835,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Best-F1,robustness,0.8391685459098825,0.9186582864486849,0.1732153846153846,0.14819487179487176,0.5177582894996262,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,domain_shift,0.6149355447424822,0.7582374152289413,0.20503978779840845,0.47651856763925726,-0.0666228106951835,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,robustness,0.8391685459098825,0.9186582864486849,0.1732153846153846,0.14819487179487176,0.5177582894996262,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,domain_shift,0.6156933424054415,0.7582374152289413,0.25946065428824044,0.4308908045977012,-0.07465811648050014,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,robustness,0.8048732419614264,0.9182951861251203,0.31193333333333334,0.06884102564102561,0.42409888298706744,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,domain_shift,0.611917755415966,0.7582374152289413,0.1506808134394341,0.5159372236958444,-0.054700281719312405,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,robustness,0.8205342381925986,0.9171417532221624,0.08546666666666662,0.26795384615384615,0.4671137253720859,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,domain_shift,0.6149355447424822,0.7582374152289413,0.20503978779840845,0.47651856763925726,-0.0666228106951835,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,robustness,0.83878096887478,0.9186582864486849,0.1728307692307692,0.1493487179487179,0.5166014816952929,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Deployment,domain_shift,0.6126042536209071,0.7533085634430742,0.20915119363395224,0.47979000884173295,-0.0763369488547781,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Deployment,robustness,0.8379615283660229,0.9177098047548418,0.17241538461538458,0.15139487179487177,0.5141512719557665,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Label-Efficient,domain_shift,0.6149355447424822,0.7582374152289413,0.20503978779840845,0.47651856763925726,-0.0666228106951835,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Label-Efficient,robustness,0.8391685459098825,0.9186582864486849,0.1732153846153846,0.14819487179487176,0.5177582894996262,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LightGBM,domain_shift,0.6306484552328624,0.7681859124191758,0.22450928381962862,0.4432913351016799,-0.03715216368844615,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LightGBM,robustness,0.8343465548531122,0.915662290511176,0.17081538461538456,0.16019487179487174,0.5033362984428558,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-XGBoost,domain_shift,0.5968868215818619,0.7464495246234095,0.2213572060123784,0.48828028293545533,-0.11275066736597184,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-XGBoost,robustness,0.8087482917163714,0.8987535098412303,0.17398974358974356,0.20733846153846153,0.42742008658816627,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-RandomForest,domain_shift,0.566130957387342,0.7315713299419414,0.20236737400530502,0.5552586206896551,-0.1914950373076182,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-RandomForest,robustness,0.7842888751547622,0.8536863635181094,0.22085128205128204,0.2093179487179487,0.35411964438553145,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-IsolationForest,domain_shift,0.40513282669104855,0.5405118006646766,0.7994473916887711,0.19280061892130856,-0.5871151839190312,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-IsolationForest,robustness,0.5053288874114835,0.4965164680498982,0.4935333333333333,0.4564051282051282,-0.444609574126978,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-AutoEncoder,domain_shift,0.5172143944090349,0.5510300405189159,0.6452033598585323,0.2602011494252873,-0.38819011487478466,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-AutoEncoder,robustness,0.5493650674485552,0.5459048943236854,0.5197115384615384,0.369551282051282,-0.33989775306426523,20,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LSTM-AE,domain_shift,0.4014940319120277,0.5067953846557582,0.1086151635720601,0.8947281167108754,-0.6018492483709077,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LSTM-AE,robustness,0.5021680595308663,0.5534025152787182,0.22003205128205122,0.7118589743589744,-0.4297229661101593,20,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-USAD,domain_shift,0.5266278431092195,0.5619372600222438,0.6478171971706455,0.24196507515473034,-0.36315442921615626,10,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-USAD,robustness,0.5455141037159976,0.559923273463013,0.44326923076923075,0.45881410256410254,-0.35656922961733567,20,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Oracle-Best-Test,domain_shift,0.7287580275993634,0.8209280350490263,0.1925044208664898,0.3198430592396109,0.21641054749326266,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Oracle-Best-Test,robustness,0.847154080319973,0.9196745144151663,0.1567179487179487,0.14858461538461534,0.5418515162174089,25,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
