alpha_far,beta_mdr,strategy,far_violation_rate,mdr_violation_rate,joint_either_violation_rate,n_scenarios
0.2,0.2,Fixed-LightGBM,0.3368421052631579,0.42105263157894735,0.5473684210526316,95
0.2,0.2,Fixed-RandomForest,0.4842105263157895,0.631578947368421,0.7157894736842105,95
0.2,0.2,Fixed-XGBoost,0.43157894736842106,0.49473684210526314,0.6736842105263158,95
0.2,0.2,Framework-Balanced,0.36,0.47,0.58,100
0.2,0.2,Framework-Deployment,0.37,0.47,0.58,100
0.2,0.2,Framework-Low-False-Alarm,0.08,0.69,0.69,100
0.2,0.2,Framework-Safety,0.61,0.19,0.71,100
0.2,0.3,Fixed-LightGBM,0.3368421052631579,0.23157894736842105,0.47368421052631576,95
0.2,0.3,Fixed-RandomForest,0.4842105263157895,0.3684210526315789,0.6526315789473685,95
0.2,0.3,Fixed-XGBoost,0.43157894736842106,0.3157894736842105,0.5894736842105263,95
0.2,0.3,Framework-Balanced,0.36,0.27,0.5,100
0.2,0.3,Framework-Deployment,0.37,0.28,0.5,100
0.2,0.3,Framework-Low-False-Alarm,0.08,0.48,0.51,100
0.2,0.3,Framework-Safety,0.61,0.11,0.7,100
0.2,0.35,Fixed-LightGBM,0.3368421052631579,0.17894736842105263,0.47368421052631576,95
0.2,0.35,Fixed-RandomForest,0.4842105263157895,0.24210526315789474,0.6526315789473685,95
0.2,0.35,Fixed-XGBoost,0.43157894736842106,0.17894736842105263,0.5368421052631579,95
0.2,0.35,Framework-Balanced,0.36,0.23,0.5,100
0.2,0.35,Framework-Deployment,0.37,0.22,0.5,100
0.2,0.35,Framework-Low-False-Alarm,0.08,0.42,0.5,100
0.2,0.35,Framework-Safety,0.61,0.11,0.7,100
0.3,0.2,Fixed-LightGBM,0.11578947368421053,0.42105263157894735,0.43157894736842106,95
0.3,0.2,Fixed-RandomForest,0.2,0.631578947368421,0.6421052631578947,95
0.3,0.2,Fixed-XGBoost,0.14736842105263157,0.49473684210526314,0.5157894736842106,95
0.3,0.2,Framework-Balanced,0.14,0.47,0.47,100
0.3,0.2,Framework-Deployment,0.12,0.47,0.47,100
0.3,0.2,Framework-Low-False-Alarm,0.05,0.69,0.69,100
0.3,0.2,Framework-Safety,0.47,0.19,0.59,100
0.3,0.3,Fixed-LightGBM,0.11578947368421053,0.23157894736842105,0.30526315789473685,95
0.3,0.3,Fixed-RandomForest,0.2,0.3684210526315789,0.4421052631578947,95
0.3,0.3,Fixed-XGBoost,0.14736842105263157,0.3157894736842105,0.4,95
0.3,0.3,Framework-Balanced,0.14,0.27,0.34,100
0.3,0.3,Framework-Deployment,0.12,0.28,0.34,100
0.3,0.3,Framework-Low-False-Alarm,0.05,0.48,0.51,100
0.3,0.3,Framework-Safety,0.47,0.11,0.58,100
0.3,0.35,Fixed-LightGBM,0.11578947368421053,0.17894736842105263,0.28421052631578947,95
0.3,0.35,Fixed-RandomForest,0.2,0.24210526315789474,0.4,95
0.3,0.35,Fixed-XGBoost,0.14736842105263157,0.17894736842105263,0.28421052631578947,95
0.3,0.35,Framework-Balanced,0.14,0.23,0.33,100
0.3,0.35,Framework-Deployment,0.12,0.22,0.31,100
0.3,0.35,Framework-Low-False-Alarm,0.05,0.42,0.47,100
0.3,0.35,Framework-Safety,0.47,0.11,0.58,100
0.4,0.2,Fixed-LightGBM,0.05263157894736842,0.42105263157894735,0.43157894736842106,95
0.4,0.2,Fixed-RandomForest,0.09473684210526316,0.631578947368421,0.6421052631578947,95
0.4,0.2,Fixed-XGBoost,0.07368421052631578,0.49473684210526314,0.5157894736842106,95
0.4,0.2,Framework-Balanced,0.08,0.47,0.47,100
0.4,0.2,Framework-Deployment,0.07,0.47,0.47,100
0.4,0.2,Framework-Low-False-Alarm,0.03,0.69,0.69,100
0.4,0.2,Framework-Safety,0.37,0.19,0.49,100
0.4,0.3,Fixed-LightGBM,0.05263157894736842,0.23157894736842105,0.2736842105263158,95
0.4,0.3,Fixed-RandomForest,0.09473684210526316,0.3684210526315789,0.4,95
0.4,0.3,Fixed-XGBoost,0.07368421052631578,0.3157894736842105,0.3684210526315789,95
0.4,0.3,Framework-Balanced,0.08,0.27,0.31,100
0.4,0.3,Framework-Deployment,0.07,0.28,0.31,100
0.4,0.3,Framework-Low-False-Alarm,0.03,0.48,0.51,100
0.4,0.3,Framework-Safety,0.37,0.11,0.48,100
0.4,0.35,Fixed-LightGBM,0.05263157894736842,0.17894736842105263,0.23157894736842105,95
0.4,0.35,Fixed-RandomForest,0.09473684210526316,0.24210526315789474,0.3368421052631579,95
0.4,0.35,Fixed-XGBoost,0.07368421052631578,0.17894736842105263,0.24210526315789474,95
0.4,0.35,Framework-Balanced,0.08,0.23,0.29,100
0.4,0.35,Framework-Deployment,0.07,0.22,0.27,100
0.4,0.35,Framework-Low-False-Alarm,0.03,0.42,0.45,100
0.4,0.35,Framework-Safety,0.37,0.11,0.48,100
