deployed_strategy,far_violation_rate,mdr_violation_rate,joint_far_mdr_violation_rate,far_mean,mdr_mean,n_scenarios,focus_group,generated_at,output_path
Framework-Best-F1,0.08,0.22,0.28,0.1777394341290892,0.2515924624226348,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Balanced,0.08,0.23,0.29,0.1742458443854995,0.2555668213969937,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Safety,0.37,0.11,0.48,0.3218254199823165,0.154418854995579,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Low-False-Alarm,0.03,0.42,0.45,0.0871663572060123,0.3653009725906277,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Robust,0.09,0.21,0.28,0.1801432802829354,0.2530027188328912,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Deployment,0.07,0.22,0.27,0.1744570291777187,0.260644938107869,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Framework-Label-Efficient,0.08,0.23,0.29,0.1742458443854995,0.2555668213969937,100,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LightGBM,0.0526315789473684,0.1789473684210526,0.231578947368421,0.1691596630834379,0.2401724835962585,95,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-XGBoost,0.0736842105263157,0.1789473684210526,0.2421052631578947,0.1818429894364558,0.2696041230396946,95,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-RandomForest,0.0947368421052631,0.2421052631578947,0.3368421052631579,0.1894650984224486,0.2911058448508539,95,primary_comparison,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-IsolationForest,0.8,0.52,1.0,0.5926221043324491,0.3656014367816091,100,context,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-AutoEncoder,0.85,0.6333333333333333,1.0,0.5150659445918067,0.3739224137931033,60,context,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-LSTM-AE,0.0,1.0,1.0,0.2017029546124372,0.7428179339817272,60,context,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Fixed-USAD,0.8,0.7,1.0,0.4778413277335691,0.4128168287651046,60,context,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
Oracle-Best-Test,0.08,0.21,0.25,0.1682799513704685,0.2067851237842616,100,context,2026-06-05T15:45:06+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/rie_results_packaging_review_figures_gate_v1
