deployed_strategy,n_scenarios,distinct_selected_models,far_violation_rate,mdr_violation_rate,joint_far_mdr_violation_rate,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,auroc_mean,auroc_std,pr_auc_mean,pr_auc_std,far_mean,far_std,mdr_mean,mdr_std,far_at_95_recall_mean,far_at_95_recall_std,latency_ms_mean,latency_ms_std,model_size_mb_mean,model_size_mb_std,train_time_sec_mean,train_time_sec_std,utility_balanced_mean,utility_safety_mean,utility_low_false_alarm_mean,utility_deployment_mean,utility_label_efficiency_mean,utility_robust_mean,generated_at,output_path
Fixed-AutoEncoder,60,1,0.85,0.6333333333333333,1.0,0.5479761028680797,0.035557259166686915,0.5479761028680797,0.035557259166686915,0.5650738813889779,0.04238081393907185,0.5501502850844263,0.03967809405184567,0.5150659445918067,0.10958330948808438,0.37392241379310337,0.09703636727736376,0.9132847038019453,0.026874836620266965,0.00240380301488855,0.0003288625674543522,0.453216552734375,0.0,0.11160937849781473,0.018362984505129014,-0.34101225551683023,-0.4574016970140304,-0.6691169932120853,-0.3681413597377855,-0.3510122555168303,-0.34101225551683023,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-IsolationForest,100,1,0.8,0.52,1.0,0.48430531607242744,0.07602903183641402,0.48430531607242744,0.076029031836414,0.5143426423553212,0.10698900374582943,0.5122134655701954,0.09022499362236525,0.5926221043324491,0.21626223407737574,0.36560143678160917,0.24111315071640219,0.9030888152077808,0.0900126537535283,0.026492623218978894,0.015235227820557824,0.04999999999999999,1.3947701538996772e-17,0.24475205281865783,0.06413111864209985,-0.47391822504163095,-0.5432086096570157,-0.8837396109832757,-0.4792448578616358,-0.479918225041631,-0.47391822504163095,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-LSTM-AE,60,1,0.0,1.0,1.0,0.4848025818789907,0.04498202698289175,0.48480258187899067,0.04498202698289175,0.5224015157180338,0.03673445959223283,0.5459851670175567,0.03788531362016555,0.20170295461243729,0.08341216346990839,0.7428179339817272,0.08998921147563617,0.9650604185086943,0.012307717598315593,0.004285098702666284,0.0003472691714529998,0.046001434326171806,6.997451008761295e-18,0.1945749552648825,0.011819520344862935,-0.45971830671517366,-1.1016847633906823,-0.2900122943367474,-0.46325929276825295,-0.4697183067151737,-0.45971830671517366,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-LightGBM,95,1,0.05263157894736842,0.17894736842105263,0.23157894736842105,0.7853701241815099,0.16126086380108512,0.7853701241815099,0.16126086380108512,0.8633673902784355,0.1414917679726568,0.8765718937196254,0.13144180246300244,0.16915966308343797,0.13390484654136944,0.2401724835962585,0.2394522140885933,0.48228744939271256,0.32489706058754536,0.006391041569194286,0.004702486858663375,1.0,0.0,0.15284992731298855,0.06141680650768026,0.3760379775018133,0.22044532544727383,0.32696455621650455,0.3255966005528478,0.3697221880281291,0.3760379775018133,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-RandomForest,95,1,0.09473684210526316,0.24210526315789474,0.3368421052631579,0.7444351570530119,0.18292054965870744,0.7444351570530119,0.18292054965870744,0.8257072548146177,0.15530578556888805,0.8349170177952164,0.15013525052489338,0.18946509842244863,0.15258077787727195,0.29110584485085395,0.2668007599767407,0.5166879333612546,0.34030000236144736,0.1970258372302316,0.1545529833296227,1.0,0.0,0.22784349695950942,0.0755993443199084,0.26386421377970953,0.06749091814007992,0.21995203778268776,0.2018820612558695,0.2575484243060253,0.26386421377970953,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-USAD,60,1,0.8,0.7,1.0,0.5478415344589508,0.037160198936525134,0.547841534458951,0.037160198936525134,0.5708641897403844,0.03717071052446101,0.5628319810251629,0.038655648757025644,0.4778413277335691,0.11617266371468467,0.4128168287651046,0.11910585952647826,0.9087496315944591,0.02887294978765394,0.003510614738757995,0.0005009479800705787,0.850128173828125,0.0,0.1556960572915462,0.005760616463999592,-0.34281662203972285,-0.5167127869380429,-0.6142495353907393,-0.38744108310473874,-0.3528166220397228,-0.34281662203972285,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Fixed-XGBoost,95,1,0.07368421052631578,0.17894736842105263,0.24210526315789474,0.760957515226559,0.17465108005815283,0.760957515226559,0.17465108005815283,0.8475124742311049,0.14192731185491925,0.8605680360796103,0.1394496442570992,0.1818429894364558,0.13657933276309298,0.26960412303969467,0.2592968488706795,0.5154395039322445,0.30884055183451503,0.005851731337920204,0.00482924109561121,1.0,0.0,0.12263014854152536,0.06924619968178954,0.30951040275040864,0.13082777442894183,0.2624694748338002,0.25910626658425356,0.3031946132767245,0.30951040275040864,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Balanced,100,6,0.08,0.23,0.29,0.7730015561708667,0.1748343900856317,0.7730015561708667,0.17483439008563167,0.8492683018847168,0.15482573390166388,0.8608469365746783,0.1475915500390569,0.1742458443854995,0.1470099023756637,0.25556682139699377,0.25577026856719326,0.48019862953138814,0.34575075319329696,0.06459207327959199,0.13549349533669391,0.9804960250854492,0.11184538347240924,0.16143409789889118,0.05206905629968464,0.34318889038837347,0.17474499118412942,0.2967264567013708,0.29019082993829154,0.33718889038837346,0.34318889038837347,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Best-F1,100,6,0.08,0.22,0.28,0.7734610330411829,0.1747196125302034,0.7734610330411829,0.1747196125302034,0.8494121217400752,0.15463865180141376,0.861138559092834,0.1471951511555478,0.17773943412908924,0.14826332134843626,0.2515924624226348,0.2534777215393167,0.48032683465959325,0.3459201681182973,0.06458649050634295,0.1354960698170672,0.9804960250854492,0.11184538347240924,0.16184332707896829,0.05226763822153684,0.344129136489459,0.18140639113136875,0.2921859335716871,0.29113146242616933,0.33812913648945897,0.344129136489459,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
Framework-Deployment,100,6,0.07,0.22,0.27,0.7704818599308072,0.17586825414102983,0.7704818599308072,0.17586825414102983,0.8457066430286387,0.15898960320122105,0.8586067556101951,0.1502597278125675,0.17445702917771874,0.14341825827228333,0.26064493810786904,0.25743753237280365,0.48538598585322723,0.34457822561605533,0.05036022614057454,0.12015867338897016,0.9724547576904297,0.1452357107486544,0.15783155537559648,0.05718044822016858,0.3353798926452194,0.1619634691262096,0.2912453325214351,0.2836271821025942,0.32937989264521944,0.3353798926452194,2026-06-05T14:24:59+00:00,/home/zyf/文档/跨工况工业机器人异常检测/robot_cirfl/outputs/framework_strategy_validation_gate_v1
